QSO,zabs,Ncld,vcld,N-MgII,e_NMgII,bMgII,e_b-MgII,N-FeII,e_N-FeII,b-FeII,e_b-FeII,N-MgI,e_N-MgI,b-MgI,e_b-MgI,N-MnII,e_N-MnII,b-MnII,e_b-MnII,N-CaII,e_N-CaII,b-CaII,e_b-CaII
J000149-015939,0.870821,1,-93.01,13.1,0.035,5.76,0.185,13.32,0.023,5.76,0.185,11.33,0.069,5.76,0.185,11.19,-1.0,0.0,0.0,11.14,-1.0,0.0,0.0
J000149-015939,0.870821,2,-52.58,12.59,0.241,7.99,2.502,12.53,0.237,7.99,2.502,10.69,0.482,7.99,2.502,11.27,-1.0,0.0,0.0,11.25,-1.0,0.0,0.0
J000149-015939,0.870821,3,-46.49,13.03,0.19,3.18,0.435,12.93,0.096,3.18,0.435,11.1,0.162,3.18,0.435,11.08,-1.0,0.0,0.0,11.09,-1.0,0.0,0.0
J000149-015939,0.870821,4,-32.94,12.45,0.244,5.81,1.691,12.41,0.09,5.81,1.691,11.13,-1.0,0.0,0.0,11.19,-1.0,0.0,0.0,11.21,-1.0,0.0,0.0
J000149-015939,0.870821,5,-23.87,12.51,0.373,17.61,9.999,11.47,-1.0,0.0,0.0,11.33,-1.0,0.0,0.0,11.43,-1.0,0.0,0.0,11.41,-1.0,0.0,0.0
J000149-015939,0.870821,6,7.33,13.2,0.056,8.12,0.821,12.53,0.047,8.12,0.821,11.51,0.066,8.12,0.821,11.27,-1.0,0.0,0.0,11.21,-1.0,0.0,0.0
J000149-015939,0.870821,7,26.57,13.06,0.081,10.56,2.155,12.08,0.138,10.56,2.155,11.24,0.129,10.56,2.155,11.32,-1.0,0.0,0.0,11.28,-1.0,0.0,0.0
J000149-015939,0.870821,8,49.28,12.01,0.387,11.95,8.381,11.37,-1.0,0.0,0.0,11.24,-1.0,0.0,0.0,11.32,-1.0,0.0,0.0,11.26,-1.0,0.0,0.0
J000323-260318,1.434037,1,-170.48,12.46,0.016,3.72,0.215,11.86,0.061,3.72,0.215,10.94,-1.0,0.0,0.0,10.74,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000323-260318,1.434037,2,-24.25,12.86,0.018,4.46,0.243,12.37,0.022,4.46,0.243,10.93,-1.0,0.0,0.0,10.73,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000323-260318,1.434037,3,-11.79,11.68,0.118,3.6,1.915,10.75,-1.0,0.0,0.0,10.79,0.127,3.6,1.915,10.68,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000323-260318,1.434037,4,20.44,13.18,0.014,6.66,0.16,12.71,0.013,6.66,0.16,10.99,0.088,6.66,0.16,10.8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,0.452397,1,-69.73,12.12,0.016,2.47,0.217,0.0,0.0,0.0,0.0,11.19,0.033,2.47,0.217,0.0,0.0,0.0,0.0,11.45,0.025,2.47,0.217
J000344-232355,0.452397,2,1.58,12.44,0.008,3.61,0.118,0.0,0.0,0.0,0.0,10.48,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,-1.0,0.0,0.0
J000344-232355,0.452397,3,46.89,11.61,0.049,14.11,2.03,0.0,0.0,0.0,0.0,10.75,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44,-1.0,0.0,0.0
J000344-232355,0.949116,1,-70.84,11.4,0.049,6.24,1.179,10.45,-1.0,0.0,0.0,10.52,-1.0,0.0,0.0,10.46,-1.0,0.0,0.0,10.36,-1.0,0.0,0.0
J000344-232355,0.949116,2,-32.98,11.06,0.104,3.13,2.285,10.35,-1.0,0.0,0.0,10.44,-1.0,0.0,0.0,10.38,-1.0,0.0,0.0,10.3,-1.0,0.0,0.0
J000344-232355,0.949116,3,-13.4,12.75,0.004,7.9,0.141,12.16,0.015,7.9,0.141,10.8,0.152,7.9,0.141,10.55,-1.0,0.0,0.0,10.45,-1.0,0.0,0.0
J000344-232355,0.949116,4,9.49,11.53,0.428,4.85,5.246,11.04,0.397,4.85,5.246,10.54,-1.0,0.0,0.0,10.48,-1.0,0.0,0.0,10.38,-1.0,0.0,0.0
J000344-232355,0.949116,5,20.09,11.82,0.29,4.86,2.975,11.22,0.348,4.86,2.975,10.54,-1.0,0.0,0.0,10.47,-1.0,0.0,0.0,10.38,-1.0,0.0,0.0
J000344-232355,0.949116,6,35.04,12.36,0.012,8.94,0.068,11.69,0.05,8.94,0.068,10.64,-1.0,0.0,0.0,10.57,-1.0,0.0,0.0,10.48,-1.0,0.0,0.0
J000344-232355,0.949116,7,55.26,11.71,0.062,1.41,0.263,11.35,0.076,1.41,0.263,10.44,-1.0,0.0,0.0,10.38,-1.0,0.0,0.0,10.29,-1.0,0.0,0.0
J000344-232355,0.949116,8,63.74,12.21,0.022,5.32,0.34,11.33,0.082,5.32,0.34,10.54,-1.0,0.0,0.0,10.47,-1.0,0.0,0.0,10.38,-1.0,0.0,0.0
J000344-232355,0.949116,9,84.73,11.46,0.066,11.16,2.496,10.56,-1.0,0.0,0.0,10.64,-1.0,0.0,0.0,10.57,-1.0,0.0,0.0,10.48,-1.0,0.0,0.0
J000344-232355,1.586132,1,-82.44,12.39,0.006,3.93,0.12,11.31,0.077,3.93,0.12,10.59,-1.0,0.0,0.0,10.48,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,1.586132,2,-68.47,12.86,0.01,3.61,0.058,11.69,0.032,3.61,0.058,10.67,0.065,3.61,0.058,10.43,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,1.586132,3,27.59,12.27,0.062,17.66,1.648,10.72,-1.0,0.0,0.0,10.83,-1.0,0.0,0.0,10.7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,1.586132,4,34.52,13.1,0.024,2.96,0.073,12.55,0.007,2.96,0.073,10.9,0.049,2.96,0.073,10.42,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,1.586132,5,43.75,11.72,0.161,5.04,1.442,10.48,-1.0,0.0,0.0,10.6,-1.0,0.0,0.0,10.52,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,1.65146,1,0.04,12.68,0.019,2.37,0.076,11.33,0.099,2.37,0.076,10.73,0.054,2.37,0.076,10.58,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,1,-130.47,12.87,0.007,5.65,0.128,11.89,0.024,5.65,0.128,0.0,0.0,0.0,0.0,11.49,0.058,5.65,0.128,0.0,0.0,0.0,0.0
J000344-232355,2.184448,2,-115.87,12.73,0.008,5.25,0.161,11.82,0.027,5.25,0.161,0.0,0.0,0.0,0.0,11.0,0.163,5.25,0.161,0.0,0.0,0.0,0.0
J000344-232355,2.184448,3,-90.07,12.14,0.016,9.56,0.481,11.21,0.136,9.56,0.481,0.0,0.0,0.0,0.0,11.64,0.052,9.56,0.481,0.0,0.0,0.0,0.0
J000344-232355,2.184448,4,-65.84,12.11,0.012,3.76,0.237,11.89,0.022,3.76,0.237,0.0,0.0,0.0,0.0,10.68,0.342,3.76,0.237,0.0,0.0,0.0,0.0
J000344-232355,2.184448,5,-43.53,12.49,0.008,4.38,0.164,12.12,0.015,4.38,0.164,0.0,0.0,0.0,0.0,10.72,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,6,-30.36,11.99,0.018,3.2,0.372,11.89,0.023,3.2,0.372,0.0,0.0,0.0,0.0,10.7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,7,-2.54,11.81,0.042,2.1,0.649,11.66,0.042,2.1,0.649,0.0,0.0,0.0,0.0,10.81,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,8,7.03,12.36,0.018,13.09,0.472,11.69,0.062,13.09,0.472,0.0,0.0,0.0,0.0,11.32,0.224,13.09,0.472,0.0,0.0,0.0,0.0
J000344-232355,2.184448,9,56.44,11.25,0.092,6.41,1.846,10.85,0.251,6.41,1.846,0.0,0.0,0.0,0.0,10.77,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,10,79.56,12.75,0.011,3.78,0.087,12.39,0.008,3.78,0.087,0.0,0.0,0.0,0.0,10.77,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,11,94.18,11.85,0.019,3.81,0.313,11.25,0.091,3.81,0.313,0.0,0.0,0.0,0.0,10.78,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,12,128.7,11.55,0.042,5.1,0.933,10.74,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,13,210.27,12.22,0.01,5.83,0.212,11.73,0.034,5.83,0.212,10.87,-1.0,0.0,0.0,10.81,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,14,251.41,12.86,0.019,7.91,0.153,12.1,0.063,7.91,0.153,11.13,0.076,7.91,0.153,10.87,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,15,253.84,12.81,0.04,3.01,0.107,12.9,0.009,3.01,0.107,10.72,-1.0,0.0,0.0,10.69,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,2.184448,16,265.12,11.56,0.071,2.22,0.861,11.59,0.046,2.22,0.861,10.68,0.084,2.22,0.861,10.69,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,1,-305.85,11.32,0.043,6.66,1.056,10.63,-1.0,0.0,0.0,10.36,-1.0,0.0,0.0,10.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,2,-272.29,12.13,0.032,9.92,0.689,11.7,0.105,9.92,0.689,10.08,0.251,9.92,0.689,10.71,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,3,-254.88,13.81,0.025,6.21,0.09,13.55,0.012,6.21,0.09,11.97,0.013,6.21,0.09,11.29,0.109,6.21,0.09,0.0,0.0,0.0,0.0
J000448-415728,0.836627,4,-244.94,12.94,0.123,9.81,1.58,12.51,0.133,9.81,1.58,10.95,0.141,9.81,1.58,10.7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,5,-216.01,12.64,0.222,10.84,3.469,12.35,0.228,10.84,3.469,10.68,0.254,10.84,3.469,10.72,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,6,-209.25,12.94,0.08,4.22,0.395,12.74,0.069,4.22,0.395,11.26,0.054,4.22,0.395,11.12,0.174,4.22,0.395,0.0,0.0,0.0,0.0
J000448-415728,0.836627,7,-200.18,13.03,0.098,1.74,0.09,12.16,0.049,1.74,0.09,10.96,0.027,1.74,0.09,10.47,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,8,-191.88,12.5,0.024,4.87,0.253,12.12,0.041,4.87,0.253,10.63,0.06,4.87,0.253,10.8,0.267,4.87,0.253,0.0,0.0,0.0,0.0
J000448-415728,0.836627,9,-170.03,13.66,0.014,5.8,0.071,13.44,0.006,5.8,0.071,11.83,0.006,5.8,0.071,11.11,0.142,5.8,0.071,0.0,0.0,0.0,0.0
J000448-415728,0.836627,10,-150.51,12.76,0.085,17.9,3.558,12.23,0.114,17.9,3.558,10.85,0.113,17.9,3.558,10.5,0.966,17.9,3.558,0.0,0.0,0.0,0.0
J000448-415728,0.836627,11,-129.59,13.11,0.084,8.23,0.711,13.0,0.063,8.23,0.711,11.51,0.063,8.23,0.711,10.97,0.244,8.23,0.711,0.0,0.0,0.0,0.0
J000448-415728,0.836627,12,-116.68,13.91,0.581,6.49,0.211,13.75,0.027,6.49,0.211,12.21,0.019,6.49,0.211,11.65,0.053,6.49,0.211,0.0,0.0,0.0,0.0
J000448-415728,0.836627,13,-100.58,14.95,1.127,11.93,1.02,13.83,0.038,11.93,1.02,12.03,0.038,11.93,1.02,11.78,0.054,11.93,1.02,0.0,0.0,0.0,0.0
J000448-415728,0.836627,14,-79.87,16.45,9.999,1.0,0.1,9.9,-1.0,0.0,0.0,11.81,0.216,1.0,0.1,11.16,0.202,1.0,0.1,0.0,0.0,0.0,0.0
J000448-415728,0.836627,15,-77.79,13.69,0.075,10.73,0.7,14.04,0.02,10.73,0.7,12.14,0.024,10.73,0.7,11.88,0.054,10.73,0.7,0.0,0.0,0.0,0.0
J000448-415728,0.836627,16,-62.66,12.96,0.118,4.98,0.921,12.91,0.163,4.98,0.921,10.97,0.202,4.98,0.921,10.48,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,17,-48.69,13.52,0.026,8.2,0.555,13.52,0.024,8.2,0.555,11.87,0.022,8.2,0.555,11.33,0.093,8.2,0.555,0.0,0.0,0.0,0.0
J000448-415728,0.836627,18,-33.67,13.26,0.048,6.0,0.542,13.23,0.055,6.0,0.542,11.5,0.061,6.0,0.542,10.86,0.251,6.0,0.542,0.0,0.0,0.0,0.0
J000448-415728,0.836627,19,-18.22,13.31,0.071,9.83,1.317,13.36,0.065,9.83,1.317,11.63,0.072,9.83,1.317,10.56,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,20,0.67,13.49,0.188,10.01,1.755,13.42,0.215,10.01,1.755,11.66,0.242,10.01,1.755,10.99,0.815,10.01,1.755,0.0,0.0,0.0,0.0
J000448-415728,0.836627,21,10.78,12.46,3.007,14.87,4.676,12.27,4.717,14.87,4.676,11.47,0.464,14.87,4.676,11.42,0.324,14.87,4.676,0.0,0.0,0.0,0.0
J000448-415728,0.836627,22,26.55,13.66,0.152,10.65,2.216,13.73,0.137,10.65,2.216,11.86,0.188,10.65,2.216,11.58,0.204,10.65,2.216,0.0,0.0,0.0,0.0
J000448-415728,0.836627,23,40.98,13.5,0.274,8.19,2.291,13.54,0.265,8.19,2.291,12.05,0.195,8.19,2.291,11.63,0.215,8.19,2.291,0.0,0.0,0.0,0.0
J000448-415728,0.836627,24,48.78,12.88,1.062,5.9,1.372,13.01,0.748,5.9,1.372,10.23,-1.0,0.0,0.0,10.45,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,25,52.26,13.31,0.17,3.53,0.577,12.98,0.321,3.53,0.577,11.64,0.159,3.53,0.577,11.15,0.315,3.53,0.577,0.0,0.0,0.0,0.0
J000448-415728,0.836627,26,60.76,12.98,0.058,2.09,0.159,12.91,0.032,2.09,0.159,11.16,0.044,2.09,0.159,11.12,0.107,2.09,0.159,0.0,0.0,0.0,0.0
J000448-415728,0.836627,27,69.77,13.7,0.027,5.09,0.137,13.37,0.009,5.09,0.137,11.84,0.008,5.09,0.137,11.13,0.12,5.09,0.137,0.0,0.0,0.0,0.0
J000448-415728,0.836627,28,89.5,13.36,0.018,6.19,0.151,13.37,0.013,6.19,0.151,11.78,0.015,6.19,0.151,11.28,0.089,6.19,0.151,0.0,0.0,0.0,0.0
J000448-415728,0.836627,29,111.73,14.12,0.032,12.99,0.508,13.86,0.019,12.99,0.508,12.35,0.016,12.99,0.508,11.8,0.042,12.99,0.508,0.0,0.0,0.0,0.0
J000448-415728,0.836627,30,125.9,13.07,0.152,5.99,0.965,13.24,0.09,5.99,0.965,11.37,0.138,5.99,0.965,11.21,0.135,5.99,0.965,0.0,0.0,0.0,0.0
J000448-415728,0.836627,31,139.96,13.46,0.046,7.12,0.716,13.69,0.037,7.12,0.716,11.84,0.039,7.12,0.716,11.51,0.067,7.12,0.716,0.0,0.0,0.0,0.0
J000448-415728,0.836627,32,151.67,13.25,0.059,5.21,0.486,13.26,0.066,5.21,0.486,11.48,0.072,5.21,0.486,11.08,0.155,5.21,0.486,0.0,0.0,0.0,0.0
J000448-415728,0.836627,33,161.24,12.96,0.115,6.67,1.154,12.85,0.125,6.67,1.154,11.3,0.124,6.67,1.154,10.56,0.619,6.67,1.154,0.0,0.0,0.0,0.0
J000448-415728,0.836627,34,174.65,12.7,0.151,8.85,2.678,12.62,0.146,8.85,2.678,11.16,0.142,8.85,2.678,11.11,0.233,8.85,2.678,0.0,0.0,0.0,0.0
J000448-415728,0.836627,35,190.74,12.39,0.177,6.6,2.292,12.24,0.185,6.6,2.292,10.87,0.17,6.6,2.292,10.95,0.314,6.6,2.292,0.0,0.0,0.0,0.0
J000448-415728,0.836627,36,199.28,12.28,0.112,3.05,0.613,11.94,0.182,3.05,0.613,10.57,0.177,3.05,0.613,10.98,0.222,3.05,0.613,0.0,0.0,0.0,0.0
J000448-415728,0.836627,37,211.57,12.62,0.026,5.62,0.365,12.49,0.03,5.62,0.365,10.95,0.037,5.62,0.365,10.35,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,38,225.99,12.67,0.031,7.91,0.711,12.51,0.035,7.91,0.711,10.93,0.045,7.91,0.711,10.42,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,39,237.99,12.02,0.138,2.31,1.038,11.85,0.176,2.31,1.038,10.22,0.22,2.31,1.038,10.25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,40,248.6,12.58,0.114,7.96,2.211,12.47,0.114,7.96,2.211,10.89,0.11,7.96,2.211,10.41,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,41,259.59,12.31,0.143,5.22,0.525,12.18,0.152,5.22,0.525,10.41,0.236,5.22,0.525,10.35,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,0.836627,42,284.41,11.22,0.044,4.2,0.939,11.27,0.187,4.2,0.939,10.28,-1.0,0.0,0.0,10.3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,1.541851,1,-134.62,11.31,0.037,7.49,0.001,10.59,-1.0,0.0,0.0,10.65,-1.0,0.0,0.0,10.6,-1.0,0.0,0.0,10.91,-1.0,0.0,0.0
J000448-415728,1.541851,2,-111.9,11.3,0.035,5.42,0.001,10.54,-1.0,0.0,0.0,11.21,-1.0,0.0,0.0,10.55,-1.0,0.0,0.0,10.89,-1.0,0.0,0.0
J000448-415728,1.541851,3,-98.39,11.46,0.024,4.92,0.001,10.54,-1.0,0.0,0.0,11.35,-1.0,0.0,0.0,10.55,-1.0,0.0,0.0,10.93,-1.0,0.0,0.0
J000448-415728,1.541851,4,-80.56,11.79,0.013,6.23,0.001,10.83,0.192,6.23,0.001,10.61,-1.0,0.0,0.0,10.58,-1.0,0.0,0.0,11.0,-1.0,0.0,0.0
J000448-415728,1.541851,5,-44.95,12.03,0.012,7.07,0.28,11.0,0.143,7.07,0.28,10.64,-1.0,0.0,0.0,10.61,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
J000448-415728,1.541851,6,-23.99,12.03,0.03,10.3,0.03,11.21,0.115,10.3,0.03,11.72,-1.0,0.0,0.0,10.69,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
J000448-415728,1.541851,7,-13.14,12.24,0.006,4.09,0.081,10.98,0.14,4.09,0.081,11.45,-1.0,0.0,0.0,10.52,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
J000448-415728,1.541851,8,2.95,13.28,0.003,8.15,0.016,12.75,0.003,8.15,0.016,11.29,9.999,8.15,0.016,10.65,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
J000448-415728,1.988657,1,-38.96,11.99,0.014,6.9,0.349,10.81,0.249,6.9,0.349,0.0,0.0,0.0,0.0,10.67,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,1.988657,2,-3.89,13.02,0.029,3.58,0.157,11.99,0.025,3.58,0.157,0.0,0.0,0.0,0.0,10.59,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,1.988657,3,3.75,12.57,0.063,5.08,0.458,11.38,0.111,5.08,0.458,0.0,0.0,0.0,0.0,10.73,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,1.988657,4,37.54,12.36,0.013,8.69,0.246,11.67,0.062,8.69,0.246,0.0,0.0,0.0,0.0,10.83,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,1.988657,5,41.22,11.84,0.051,1.51,0.377,10.57,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.167883,1,-5.03,13.02,0.005,6.47,0.05,12.77,0.004,6.47,0.05,11.12,0.096,6.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.167883,2,15.32,12.09,0.011,3.01,0.25,11.71,0.03,3.01,0.25,10.8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.167883,3,31.44,12.35,0.014,6.37,0.316,11.26,0.099,6.37,0.316,10.94,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.167883,4,48.19,12.37,0.013,7.77,0.312,11.42,0.077,7.77,0.312,10.98,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.167883,5,95.51,11.31,0.145,11.95,5.472,10.75,-1.0,0.0,0.0,10.98,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,1,-120.29,15.17,0.028,1.68,0.031,12.48,0.016,1.68,0.031,11.47,0.029,1.68,0.031,10.82,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,2,-101.08,13.35,0.039,4.14,0.148,12.11,0.02,4.14,0.148,11.15,0.038,4.14,0.148,10.85,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,3,-85.85,13.28,0.01,6.77,0.112,12.52,0.01,6.77,0.112,10.85,0.083,6.77,0.112,10.92,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,4,-39.21,12.21,0.039,1.27,9.999,12.12,0.032,1.27,9.999,10.84,-1.0,0.0,0.0,12.06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,5,-22.92,14.31,0.018,6.16,9.999,13.79,0.001,6.16,9.999,11.73,0.014,6.16,9.999,12.03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,6,-3.87,16.66,1.56,4.7,0.038,13.74,0.005,4.7,0.038,11.7,0.017,4.7,0.038,11.62,0.052,4.7,0.038,0.0,0.0,0.0,0.0
J000448-415728,2.301941,7,8.07,13.22,0.747,3.79,0.28,12.72,0.022,3.79,0.28,11.91,0.016,3.79,0.28,11.33,0.102,3.79,0.28,0.0,0.0,0.0,0.0
J000448-415728,2.301941,8,16.74,13.22,0.318,3.08,0.221,12.86,0.004,3.08,0.221,11.39,0.047,3.08,0.221,10.77,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,9,29.26,13.93,0.047,4.83,0.117,13.07,0.001,4.83,0.117,11.27,0.027,4.83,0.117,11.2,0.145,4.83,0.117,0.0,0.0,0.0,0.0
J000448-415728,2.301941,10,45.4,13.13,0.01,7.19,0.057,12.65,0.008,7.19,0.057,10.98,0.062,7.19,0.057,11.3,0.14,7.19,0.057,0.0,0.0,0.0,0.0
J000448-415728,2.301941,11,70.81,13.11,0.004,10.59,0.027,12.3,0.017,10.59,0.027,11.26,-1.0,0.0,0.0,11.02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,12,92.63,12.09,0.011,4.91,0.256,11.75,0.056,4.91,0.256,11.12,-1.0,0.0,0.0,10.83,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,13,142.41,11.81,0.04,7.57,0.821,11.41,0.118,7.57,0.821,12.35,-1.0,0.0,0.0,11.06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.301941,14,167.98,12.1,0.025,14.57,1.107,11.51,0.131,14.57,1.107,11.13,-1.0,0.0,0.0,11.03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.464126,1,-17.92,12.81,0.007,6.0,0.128,11.41,0.098,6.0,0.128,11.21,-1.0,0.0,0.0,10.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.464126,2,3.16,12.92,0.013,7.79,0.238,11.57,0.077,7.79,0.238,11.24,-1.0,0.0,0.0,10.93,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000448-415728,2.464126,3,21.87,12.44,0.037,12.21,0.963,11.6,0.086,12.21,0.963,11.31,-1.0,0.0,0.0,11.01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.298058,1,-2.45,13.02,0.024,9.39,0.329,0.0,0.0,0.0,0.0,11.23,0.067,9.39,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.298058,2,6.73,12.46,0.068,2.78,0.632,0.0,0.0,0.0,0.0,10.92,0.106,2.78,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.298058,3,26.79,11.72,0.047,6.01,1.122,0.0,0.0,0.0,0.0,10.66,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.591364,1,-16.7,11.3,0.053,4.17,1.104,11.01,0.237,4.17,1.104,10.36,-1.0,0.0,0.0,10.66,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.591364,2,-1.85,12.42,0.046,3.39,0.401,11.77,0.075,3.39,0.401,10.61,0.08,3.39,0.401,10.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.591364,3,4.96,12.08,0.098,2.64,0.624,11.62,0.1,2.64,0.624,9.99,0.323,2.64,0.624,10.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,1,-33.37,13.43,0.001,6.93,0.001,0.0,0.0,0.0,0.0,11.71,0.001,6.93,0.001,10.99,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,2,-13.47,14.01,0.001,7.58,0.001,0.0,0.0,0.0,0.0,11.9,0.001,7.58,0.001,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,3,5.36,13.75,0.001,3.95,0.001,0.0,0.0,0.0,0.0,11.5,0.001,3.95,0.001,11.02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,4,28.39,12.46,0.001,8.9,0.001,0.0,0.0,0.0,0.0,11.12,-1.0,0.0,0.0,11.03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,5,142.91,13.03,0.033,3.19,0.263,0.0,0.0,0.0,0.0,11.1,-1.0,0.0,0.0,11.03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,6,150.83,12.26,0.189,7.75,2.501,0.0,0.0,0.0,0.0,11.04,-1.0,0.0,0.0,11.03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,7,172.31,13.71,0.194,3.13,0.412,0.0,0.0,0.0,0.0,11.07,-1.0,0.0,0.0,11.04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,8,183.12,13.24,0.021,4.62,0.25,0.0,0.0,0.0,0.0,11.08,-1.0,0.0,0.0,11.01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000520+052411,0.851393,9,296.13,12.05,0.03,6.52,0.712,0.0,0.0,0.0,0.0,11.01,-1.0,0.0,0.0,11.04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
